"product_id","product_name","category_id","launch_date","price"
"P-1","MacBook Pro (Touch Bar)","CAT-1","2016-10-01","1499"
"P-2","AirPods","CAT-2","2016-12-01","159"
"P-3","iPad Pro (10.5-inch)","CAT-3","2017-06-01","649"
"P-4","iPad Pro (12.9-inch, 2nd Gen)","CAT-3","2017-06-01","799"
"P-5","MacBook Pro (13-inch, 2017)","CAT-1","2017-06-01","1299"
"P-6","MacBook (2017)","CAT-1","2017-06-01","1299"
"P-7","iPhone 8","CAT-4","2017-09-01","699"
"P-8","iPhone 8 Plus","CAT-4","2017-09-01","799"
"P-9","Apple Watch Series 3","CAT-5","2017-09-01","329"
"P-10","Apple TV 4K","CAT-6","2017-09-01","179"
"P-11","iPhone X","CAT-4","2017-11-01","999"
"P-12","iPad (6th Gen)","CAT-3","2018-03-01","329"
"P-13","Apple Watch Series 4","CAT-5","2018-09-01","399"
"P-14","iPhone XS","CAT-4","2018-09-01","999"
"P-15","iPhone XS Max","CAT-4","2018-09-01","1099"
"P-16","iPhone XR","CAT-4","2018-10-01","749"
"P-17","MacBook Air (Retina, 2018)","CAT-1","2018-10-01","1199"
"P-18","Mac mini (2018)","CAT-7","2018-10-01","799"
"P-19","AirPods (2nd Gen)","CAT-2","2019-03-01","159"
"P-20","Apple Watch Series 5","CAT-5","2019-09-01","399"
"P-21","iPhone 11","CAT-4","2019-09-01","699"
"P-22","iPhone 11 Pro","CAT-4","2019-09-01","999"
"P-23","iPhone 11 Pro Max","CAT-4","2019-09-01","1099"
"P-24","iPad (7th Gen)","CAT-3","2019-09-01","329"
"P-25","iPad Air (4th Gen)","CAT-3","2020-09-01","599"
"P-26","Apple One","CAT-8","2020-10-01","179"
"P-27","iPhone 12","CAT-4","2020-10-01","799"
"P-28","iPhone 12 Pro","CAT-4","2020-10-01","999"
"P-29","MacBook Air (M1)","CAT-1","2020-11-01","999"
"P-30","MacBook Pro (M1, 13-inch)","CAT-1","2020-11-01","1299"
"P-31","Mac mini (M1)","CAT-7","2020-11-01","699"
"P-32","HomePod mini","CAT-9","2020-11-01","99"
"P-33","iPhone 12 Mini","CAT-4","2020-11-01","699"
"P-34","iPhone 12 Pro Max","CAT-4","2020-11-01","1099"
"P-35","Apple Fitness+","CAT-8","2020-12-01","120"
"P-36","AirPods Max","CAT-2","2020-12-01","549"
"P-37","iPad Pro (M1, 11-inch)","CAT-3","2021-04-01","799"
"P-38","iPad Pro (M1, 12.9-inch)","CAT-3","2021-04-01","1099"
"P-39","iMac (24-inch, M1)","CAT-7","2021-04-01","1299"
"P-40","AirTag","CAT-10","2021-04-01","29"
"P-41","Apple TV 4K","CAT-6","2021-04-01","179"
"P-42","iPhone 13 Pro","CAT-4","2021-09-01","999"
"P-43","iPhone 13","CAT-4","2021-09-01","699"
"P-44","iPhone 13 Mini","CAT-4","2021-09-01","699"
"P-45","iPhone 13 Pro Max","CAT-4","2021-09-01","1099"
"P-46","iPad (9th Gen)","CAT-3","2021-09-01","329"
"P-47","AirPods (3rd Gen)","CAT-2","2021-10-01","179"
"P-48","MacBook Pro (M1 Pro, 14-inch)","CAT-1","2021-10-01","1999"
"P-49","MacBook Pro (M1 Max, 16-inch)","CAT-1","2021-10-01","2499"
"P-50","Apple Watch Series 7","CAT-5","2021-10-01","399"
"P-51","iPhone SE (3rd Gen)","CAT-4","2022-03-01","429"
"P-52","iPad Air (5th Gen)","CAT-3","2022-03-01","599"
"P-53","Mac Studio","CAT-7","2022-03-01","1999"
"P-54","iPhone 14 Pro","CAT-4","2022-09-01","999"
"P-55","iPhone 14","CAT-4","2022-09-01","799"
"P-56","Apple Watch Series 8","CAT-5","2022-09-01","399"
"P-57","Apple Watch SE (2nd Gen)","CAT-5","2022-09-01","249"
"P-58","AirPods Pro (2nd Gen)","CAT-2","2022-09-01","249"
"P-59","iPad (10th Gen)","CAT-3","2022-10-01","449"
"P-60","iPad Pro (M2, 11-inch)","CAT-3","2022-10-01","799"
"P-61","iPad Pro (M2, 12.9-inch)","CAT-3","2022-10-01","1099"
"P-62","iPhone 15","CAT-4","2023-09-01","799"
"P-63","iPhone 15 Pro","CAT-4","2023-09-01","999"
"P-64","iPhone 15 Pro Max","CAT-4","2023-09-01","1199"
